SD_CD,SD_NM,SGG_CD,SGG_NM,EMD_CD,EMD_NM,HJD_CD,USER_DROUG,Shape_Leng,POPCNT,SUPLPPCNT,SUPLPER,STNYEAR,USE1M,USE2M,USE3M,USE4M,USE5M,USE6M,USE7M,USE8M,USE9M,USE10M,USE11M,USE12M,LPCD,WATER1DVNM,WATER1_sou,WATER1NM,WATER1CD,INTAKE1NM,INTAKE1CD,FILTER1NM,FILTER1CD,RESERV1NM,RESERV1CD,LOCAL_DVNA,WSPSYS1CD,Shape_Le_1,Shape_Area
27,대구광역시,27200,남구,27200600,대명5동,2720060000,,5545.008421,7400,7400,1,2020,103230,91251,89989,87574,82066,90676,93534,102689,101573,111942,97343,91801,422,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,5545.008421,882056.6508
27,대구광역시,27200,남구,27200610,대명6동,2720061000,,7344.731376,9643,9643,1,2020,73711,74292,73482,74349,74325,78038,80168,82334,84655,85036,82932,79358,267,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,7344.731376,1818814.176
27,대구광역시,27200,남구,27200640,대명9동,2720064000,,8965.991933,16002,16002,1,2020,146314,126589,125426,125034,135735,134526,136975,143717,143717,146932,144595,142760,282,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,8965.991933,3093253.839
27,대구광역시,27200,남구,27200650,대명10동,2720065000,,4229.48193,9346,9346,1,2020,84892,78077,78247,78001,75957,80428,82620,85660,83867,87178,84807,80623,287,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,4229.48193,530229.2259
11,서울특별시,11740,강동구,11740580,암사2동,1174058000,,6856.57976,15507,15507,1,2020,146588,64049,141998,71125,152905,72751,168126,74725,165937,74226,161504,71025,240,댐(K-water),다목적댐,충주댐,1003110,암사취수장,2015006513,암사정수장,2015006516,길동배수지,2015006538,지방,1100rs03,6856.57976,2174329.378
11,서울특별시,11740,강동구,11740590,암사3동,1174059000,,6022.271342,18420,18420,1,2020,85564,157710,86714,161167,90166,167446,97167,175027,100853,169763,93837,159772,229,댐(K-water),다목적댐,충주댐,1003110,암사취수장,2015006513,암사정수장,2015006516,길동배수지,2015006538,지방,1100rs03,6022.271342,1799367.843
11,서울특별시,11740,강동구,11740600,천호1동,1174060000,,3627.119299,27745,27745,1,2020,22543,368016,23285,365830,20257,373759,21728,399167,23822,403109,21123,383389,239,댐(K-water),다목적댐,충주댐,1003110,암사취수장,2015006513,암사정수장,2015006516,길동배수지,2015006538,지방,1100rs03,3627.119299,668998.3421
11,서울특별시,11740,강동구,11740620,천호3동,1174062000,,3679.105021,27085,27085,1,2020,396154,54127,392492,55453,378601,48998,407769,53259,409112,51362,396047,47989,271,댐(K-water),다목적댐,충주댐,1003110,암사취수장,2015006513,암사정수장,2015006516,길동배수지,2015006538,지방,1100rs03,3679.105021,561871.9789
26,부산광역시,26260,동래구,26260580,사직1동,2626058000,,3127.424753,10848,10848,1,2020,113135,44529,108005,44660,114500,47000,125539,48928,130700,47438,123819,45670,250,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,,990001,지방,2600rs03,3127.424753,389064.3022
26,부산광역시,26260,동래구,26260590,사직2동,2626059000,,6517.555542,28272,28272,1,2020,226679,194023,212895,178924,210735,186402,234078,190620,234791,181277,236966,184513,239,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,,990001,지방,2600rs03,6517.555542,1913209.761
